"","name","gender","eye_color","race","hair_color","height","publisher","alignment","weight","imc","categoria_imc","agility","accelerated_healing","durability","stealth","energy_absorption","flight","marksmanship","weapons_master","longevity","intelligence","super_strength","telepathy","energy_blasts","stamina","super_speed","teleportation","enhanced_senses","immortality","reflexes","invulnerability","force_fields","enhanced_hearing","n_poderes","uncommon_power","grupo"
"1","A-Bomb","Male","yellow","Human","No Hair",203,"Marvel Comics","good",106,30.225,"Obesidade III","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","forte"
"2","Abe Sapien","Male","blue","Icthyo Sapien","No Hair",191,"Dark Horse Comics","good",65,17.8,"Abaixo do peso","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE",16,"TRUE","forte"
"3","Abin Sur","Male","blue","Ungaran","No Hair",185,"DC Comics","good",90,26.3,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"4","Abomination","Male","green","Human / Radiation","No Hair",203,"Marvel Comics","bad",106,30.225,"Obesidade III","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",8,"TRUE","forte"
"5","Abraxas","Male","blue","Cosmic Entity","Black",NA,"Marvel Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",14,"TRUE","forte"
"6","Absorbing Man","Male","blue","Human","No Hair",193,"Marvel Comics","bad",122,32.8,"Obesidade I","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",11,"TRUE","fraco"
"7","Adam Monroe","Male","blue",NA,"Blond",NA,"NBC - Heroes","good",NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"8","Adam Strange","Male","blue","Human","Blond",185,"DC Comics","good",88,25.7,"Sobrepeso","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",10,"TRUE","intermediario"
"9","Agent Bob","Male","brown","Human","Brown",178,"Marvel Comics","good",81,25.6,"Sobrepeso","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"10","Agent Zero","Male",NA,NA,NA,191,"Marvel Comics","good",104,28.5,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",6,"TRUE","fraco"
